"time_days","time_years","n_risk","n_event","n_censor","survival","std_error","lower_95","upper_95","stratum"
0,0,151,0,0,1,0,1,1,"Sem DGF registrada na primeira semana"
1,0.0027378507871321,151,1,0,0.993377483443709,0.00660055126673936,0.953924975034196,0.999064467754073,"Sem DGF registrada na primeira semana"
3,0.0082135523613963,150,1,0,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
8,0.0219028062970568,149,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
12,0.0328542094455852,148,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
13,0.0355920602327173,147,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
15,0.0410677618069815,146,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
16,0.0438056125941136,145,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
19,0.0520191649555099,144,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
32,0.0876112251882272,143,0,1,0.986754966887417,0.00930342179107832,0.948082413967941,0.996670903226633,"Sem DGF registrada na primeira semana"
44,0.120465434633812,142,1,0,0.979805988247365,0.0115450045290318,0.938678968874701,0.993444825246541,"Sem DGF registrada na primeira semana"
51,0.139630390143737,141,0,1,0.979805988247365,0.0115450045290318,0.938678968874701,0.993444825246541,"Sem DGF registrada na primeira semana"
81,0.2217659137577,140,1,0,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
82,0.224503764544832,139,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
89,0.243668720054757,138,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
94,0.257357973990418,137,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
162,0.4435318275154,136,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
171,0.468172484599589,135,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
205,0.561259411362081,134,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
228,0.624229979466119,133,0,1,0.972807374045598,0.0134171743448209,0.929140408101559,0.989711691235807,"Sem DGF registrada na primeira semana"
238,0.65160848733744,132,1,0,0.965437621211919,0.0152054301999756,0.918881265121485,0.985482075867474,"Sem DGF registrada na primeira semana"
243,0.665297741273101,131,0,2,0.965437621211919,0.0152054301999756,0.918881265121485,0.985482075867474,"Sem DGF registrada na primeira semana"
276,0.75564681724846,129,0,1,0.965437621211919,0.0152054301999756,0.918881265121485,0.985482075867474,"Sem DGF registrada na primeira semana"
310,0.848733744010951,128,1,0,0.957895139796201,0.0168538191455833,0.908559592486669,0.980888227509371,"Sem DGF registrada na primeira semana"
313,0.856947296372348,127,0,1,0.957895139796201,0.0168538191455833,0.908559592486669,0.980888227509371,"Sem DGF registrada na primeira semana"
321,0.878850102669405,126,0,1,0.957895139796201,0.0168538191455833,0.908559592486669,0.980888227509371,"Sem DGF registrada na primeira semana"
327,0.895277207392197,125,0,1,0.957895139796201,0.0168538191455833,0.908559592486669,0.980888227509371,"Sem DGF registrada na primeira semana"
336,0.919917864476386,124,1,0,0.950170178991393,0.0184033146867266,0.898148864097128,0.975971369553019,"Sem DGF registrada na primeira semana"
341,0.933607118412047,123,0,1,0.950170178991393,0.0184033146867266,0.898148864097128,0.975971369553019,"Sem DGF registrada na primeira semana"
352,0.9637234770705,122,0,1,0.950170178991393,0.0184033146867266,0.898148864097128,0.975971369553019,"Sem DGF registrada na primeira semana"
354,0.969199178644764,121,1,0,0.942317532884026,0.0198560193664564,0.887753671380671,0.970787335589281,"Sem DGF registrada na primeira semana"
369,1.01026694045175,120,0,1,0.942317532884026,0.0198560193664564,0.887753671380671,0.970787335589281,"Sem DGF registrada na primeira semana"
376,1.02943189596167,119,0,1,0.942317532884026,0.0198560193664564,0.887753671380671,0.970787335589281,"Sem DGF registrada na primeira semana"
395,1.08145106091718,118,0,1,0.942317532884026,0.0198560193664564,0.887753671380671,0.970787335589281,"Sem DGF registrada na primeira semana"
396,1.08418891170431,117,1,0,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
405,1.1088295687885,116,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
408,1.1170431211499,115,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
413,1.13073237508556,114,0,3,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
419,1.14715947980835,111,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
421,1.15263518138261,110,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
437,1.19644079397673,109,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
441,1.20739219712526,108,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
461,1.2621492128679,107,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
465,1.27310061601643,106,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
471,1.28952772073922,105,0,1,0.93426353687647,0.0212570747673533,0.877206672538927,0.965324565793476,"Sem DGF registrada na primeira semana"
