"analysis","stratum","horizon_days","horizon_years","initial_n","survival","lower_95","upper_95","std_error","n_risk","cumulative_events","cumulative_censors","events_at_horizon","censors_at_horizon"
"km_dgf","Sem DGF registrada na primeira semana",0,0,151,1,1,1,0,151,0,0,0,0
"km_dgf","Sem DGF registrada na primeira semana",365,0.999315537303217,151,0.942317532884026,0.887753671380671,0.970787335589281,0.0198560193664564,120,8,23,0,0
"km_dgf","Sem DGF registrada na primeira semana",730,1.99863107460643,151,0.923524875533063,0.861405396078728,0.958462249836668,0.0235696544291857,84,10,57,0,0
"km_dgf","Sem DGF registrada na primeira semana",1096,3.00068446269678,151,0.900979512387138,0.829847042065467,0.94337170373433,0.0278730221113422,57,12,83,0,1
"km_dgf","Sem DGF registrada na primeira semana",1461,4,151,0.867539796591257,0.7789251515983,0.922364944411895,0.0354938325833776,37,14,100,0,0
"km_dgf","Sem DGF registrada na primeira semana",1826,4.99931553730322,151,0.867539796591257,0.7789251515983,0.922364944411895,0.0354938325833776,8,14,130,0,1
"km_dgf","Com DGF registrada na primeira semana",0,0,41,1,1,1,0,41,0,0,0,0
"km_dgf","Com DGF registrada na primeira semana",365,0.999315537303217,41,0.778225244721408,0.588146032558162,0.888297410542674,0.0746625159580228,18,7,16,0,0
"km_dgf","Com DGF registrada na primeira semana",730,1.99863107460643,41,0.722637727241308,0.509109342793886,0.855291432256906,0.0876118512507696,13,8,20,0,0
"km_dgf","Com DGF registrada na primeira semana",1096,3.00068446269678,41,0.722637727241308,0.509109342793886,0.855291432256906,0.0876118512507696,5,8,28,0,0
"km_dgf","Com DGF registrada na primeira semana",1461,4,41,0.722637727241308,0.509109342793886,0.855291432256906,0.0876118512507696,4,8,29,0,0
"km_dgf","Com DGF registrada na primeira semana",1826,4.99931553730322,41,0.722637727241308,0.509109342793886,0.855291432256906,0.0876118512507696,1,8,32,0,0
