"time_days","time_years","n_risk","n_event","n_censor","survival","std_error","lower_95","upper_95","stratum"
0,0,198,0,0,1,0,1,1,"Global"
1,0.0027378507871321,198,1,4,0.994949494949495,0.00503773510579516,0.964693526421954,0.999287021378149,"Global"
2,0.0054757015742642,193,1,1,0.989794316219187,0.00718015548450559,0.959808793371354,0.9974380520393,"Global"
3,0.0082135523613963,191,1,1,0.984612147024322,0.00881648926712178,0.953049658129091,0.99501164275269,"Global"
4,0.0109514031485284,189,1,1,0.979402558944828,0.0101934452143807,0.946048733432118,0.992220251761428,"Global"
5,0.0136892539356605,187,0,1,0.979402558944828,0.0101934452143807,0.946048733432118,0.992220251761428,"Global"
8,0.0219028062970568,186,0,1,0.979402558944828,0.0101934452143807,0.946048733432118,0.992220251761428,"Global"
12,0.0328542094455852,185,0,2,0.979402558944828,0.0101934452143807,0.946048733432118,0.992220251761428,"Global"
13,0.0355920602327173,183,0,2,0.979402558944828,0.0101934452143807,0.946048733432118,0.992220251761428,"Global"
15,0.0410677618069815,181,1,1,0.973991495083254,0.0114838672534637,0.938626329535519,0.989095428343865,"Global"
16,0.0438056125941136,179,1,1,0.968550201814633,0.0126432621896772,0.931309281470876,0.985753601428787,"Global"
19,0.0520191649555099,177,0,2,0.968550201814633,0.0126432621896772,0.931309281470876,0.985753601428787,"Global"
32,0.0876112251882272,175,0,1,0.968550201814633,0.0126432621896772,0.931309281470876,0.985753601428787,"Global"
44,0.120465434633812,174,1,0,0.962983821344434,0.0137414154141019,0.923879496291055,0.982191146022707,"Global"
51,0.139630390143737,173,0,1,0.962983821344434,0.0137414154141019,0.923879496291055,0.982191146022707,"Global"
66,0.180698151950719,172,1,1,0.957385078197083,0.0147580792936943,0.916537509499387,0.97847354911958,"Global"
81,0.2217659137577,170,1,0,0.951753401266511,0.0157090833223859,0.909262565843664,0.974621133449575,"Global"
82,0.224503764544832,169,0,1,0.951753401266511,0.0157090833223859,0.909262565843664,0.974621133449575,"Global"
89,0.243668720054757,168,0,1,0.951753401266511,0.0157090833223859,0.909262565843664,0.974621133449575,"Global"
91,0.249144421629021,167,1,0,0.946054279103239,0.0166166861005441,0.901976115904794,0.970631076901441,"Global"
94,0.257357973990418,166,0,1,0.946054279103239,0.0166166861005441,0.901976115904794,0.970631076901441,"Global"
106,0.290212183436003,165,1,0,0.940320616805643,0.0174772194884975,0.894732673483057,0.966531098324496,"Global"
111,0.303901437371663,164,0,1,0.940320616805643,0.0174772194884975,0.894732673483057,0.966531098324496,"Global"
162,0.4435318275154,163,0,1,0.940320616805643,0.0174772194884975,0.894732673483057,0.966531098324496,"Global"
171,0.468172484599589,162,0,1,0.940320616805643,0.0174772194884975,0.894732673483057,0.966531098324496,"Global"
176,0.48186173853525,161,1,0,0.934480116080142,0.018318572862649,0.887395346722408,0.96229054163744,"Global"
188,0.514715947980835,160,0,1,0.934480116080142,0.018318572862649,0.887395346722408,0.96229054163744,"Global"
205,0.561259411362081,159,0,1,0.934480116080142,0.018318572862649,0.887395346722408,0.96229054163744,"Global"
209,0.572210814510609,158,0,1,0.934480116080142,0.018318572862649,0.887395346722408,0.96229054163744,"Global"
222,0.607802874743327,157,1,0,0.92852801342995,0.0191444723119224,0.879957535233857,0.957911287602811,"Global"
228,0.624229979466119,156,0,1,0.92852801342995,0.0191444723119224,0.879957535233857,0.957911287602811,"Global"
238,0.65160848733744,155,1,0,0.922537510117499,0.0199361859476772,0.872545286466942,0.953438652597133,"Global"
243,0.665297741273101,154,0,2,0.922537510117499,0.0199361859476772,0.872545286466942,0.953438652597133,"Global"
248,0.678986995208761,152,0,1,0.922537510117499,0.0199361859476772,0.872545286466942,0.953438652597133,"Global"
273,0.747433264887064,151,0,1,0.922537510117499,0.0199361859476772,0.872545286466942,0.953438652597133,"Global"
276,0.75564681724846,150,0,1,0.922537510117499,0.0199361859476772,0.872545286466942,0.953438652597133,"Global"
310,0.848733744010951,149,1,0,0.916345983203959,0.0207415577177986,0.86487926243016,0.948783660505584,"Global"
313,0.856947296372348,148,0,1,0.916345983203959,0.0207415577177986,0.86487926243016,0.948783660505584,"Global"
321,0.878850102669405,147,0,1,0.916345983203959,0.0207415577177986,0.86487926243016,0.948783660505584,"Global"
327,0.895277207392197,146,0,1,0.916345983203959,0.0207415577177986,0.86487926243016,0.948783660505584,"Global"
336,0.919917864476386,145,1,0,0.910026355733587,0.0215397533853027,0.857089387574302,0.943988490253333,"Global"
341,0.933607118412047,144,0,1,0.910026355733587,0.0215397533853027,0.857089387574302,0.943988490253333,"Global"
352,0.9637234770705,143,0,1,0.910026355733587,0.0215397533853027,0.857089387574302,0.943988490253333,"Global"
354,0.969199178644764,142,1,0,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
362,0.991101984941821,141,0,1,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
