"time_days","time_years","n_risk","n_event","n_censor","survival","std_error","lower_95","upper_95","stratum"
0,0,104,0,0,1,0,1,1,"Categoria etária de menor idade"
1,0.0027378507871321,104,0,4,1,0,NA,NA,"Categoria etária de menor idade"
2,0.0054757015742642,100,0,1,1,0,NA,NA,"Categoria etária de menor idade"
4,0.0109514031485284,99,1,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
8,0.0219028062970568,97,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
16,0.0438056125941136,96,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
19,0.0520191649555099,95,0,2,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
32,0.0876112251882272,93,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
51,0.139630390143737,92,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
66,0.180698151950719,91,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
162,0.4435318275154,90,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
171,0.468172484599589,89,0,1,0.98989898989899,0.0100498654174362,0.930462954276126,0.998570935606141,"Categoria etária de menor idade"
176,0.48186173853525,88,1,0,0.978650137741047,0.0149604861373066,0.917135210318164,0.994630186285929,"Categoria etária de menor idade"
209,0.572210814510609,87,0,1,0.978650137741047,0.0149604861373066,0.917135210318164,0.994630186285929,"Categoria etária de menor idade"
228,0.624229979466119,86,0,1,0.978650137741047,0.0149604861373066,0.917135210318164,0.994630186285929,"Categoria etária de menor idade"
243,0.665297741273101,85,0,1,0.978650137741047,0.0149604861373066,0.917135210318164,0.994630186285929,"Categoria etária de menor idade"
248,0.678986995208761,84,0,1,0.978650137741047,0.0149604861373066,0.917135210318164,0.994630186285929,"Categoria etária de menor idade"
273,0.747433264887064,83,0,1,0.978650137741047,0.0149604861373066,0.917135210318164,0.994630186285929,"Categoria etária de menor idade"
310,0.848733744010951,82,1,0,0.966715379963717,0.0189497200577296,0.900043564550758,0.989177984543766,"Categoria etária de menor idade"
336,0.919917864476386,81,1,0,0.954780622186387,0.0221576194348345,0.883681084184216,0.982833271646602,"Categoria etária de menor idade"
341,0.933607118412047,80,0,1,0.954780622186387,0.0221576194348345,0.883681084184216,0.982833271646602,"Categoria etária de menor idade"
354,0.969199178644764,79,1,0,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
362,0.991101984941821,78,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
366,1.00205338809035,77,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
375,1.02669404517454,76,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
376,1.02943189596167,75,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
413,1.13073237508556,74,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
419,1.14715947980835,73,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
421,1.15263518138261,72,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
441,1.20739219712526,71,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
461,1.2621492128679,70,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
465,1.27310061601643,69,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
471,1.28952772073922,68,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
498,1.36344969199179,67,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
525,1.43737166324435,66,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
545,1.492128678987,65,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
569,1.55783709787817,64,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
579,1.58521560574949,63,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
580,1.58795345653662,62,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
670,1.83436002737851,61,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
671,1.83709787816564,60,0,1,0.9426947915258,0.0249565171022852,0.867475570096857,0.975801908917929,"Categoria etária de menor idade"
697,1.90828199863107,59,1,0,0.926716913703329,0.0292037574609992,0.842529227608209,0.96676049091613,"Categoria etária de menor idade"
733,2.00684462696783,58,1,0,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
736,2.01505817932923,57,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
749,2.05065023956194,56,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
756,2.06981519507187,55,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
762,2.08624229979466,54,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
769,2.10540725530459,53,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
778,2.13004791238877,52,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
844,2.31074606433949,51,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
846,2.31622176591376,50,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
851,2.32991101984942,49,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
866,2.3709787816564,48,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
868,2.37645448323066,47,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
882,2.41478439425051,46,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
886,2.42573579739904,45,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
959,2.62559890485969,44,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1029,2.81724845995893,43,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1041,2.85010266940452,42,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1059,2.8993839835729,41,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1085,2.97056810403833,40,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1096,3.00068446269678,39,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1142,3.12662559890486,38,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1192,3.26351813826146,37,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1202,3.29089664613279,36,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1250,3.42231348391513,35,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1367,3.74264202600958,34,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1375,3.76454483230664,33,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1434,3.92607802874743,32,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1476,4.04106776180698,31,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1487,4.07118412046543,30,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1508,4.12867898699521,29,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1513,4.14236824093087,28,0,2,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1582,4.33127994524298,26,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1589,4.35044490075291,25,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1619,4.43258042436687,24,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1638,4.48459958932238,23,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1643,4.49828884325804,22,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1646,4.50650239561944,21,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1687,4.61875427789186,20,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1692,4.63244353182752,19,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1715,4.69541409993155,18,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1742,4.76933607118412,17,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1750,4.79123887748118,16,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1780,4.87337440109514,15,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1785,4.8870636550308,14,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1791,4.90349075975359,13,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1799,4.92539356605065,12,0,2,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1801,4.93086926762491,10,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1815,4.96919917864476,9,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1826,4.99931553730322,8,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1842,5.04312114989733,7,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1847,5.05681040383299,6,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1869,5.1170431211499,5,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1894,5.1854893908282,4,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1909,5.22655715263518,3,0,2,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
1929,5.28131416837782,1,0,1,0.910739035880858,0.0327810160337323,0.819686261550258,0.956985907487022,"Categoria etária de menor idade"
0,0,94,0,0,1,0,1,1,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
1,0.0027378507871321,94,1,0,0.98936170212766,0.0105815598791361,0.926883560558468,0.998494572572892,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
2,0.0054757015742642,93,1,0,0.978723404255319,0.0148839132845392,0.917600169608384,0.994635930474339,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
3,0.0082135523613963,92,1,1,0.968085106382979,0.0181296551417236,0.904319268015514,0.989593969088528,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
5,0.0136892539356605,90,0,1,0.968085106382979,0.0181296551417236,0.904319268015514,0.989593969088528,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
12,0.0328542094455852,89,0,2,0.968085106382979,0.0181296551417236,0.904319268015514,0.989593969088528,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
13,0.0355920602327173,87,0,2,0.968085106382979,0.0181296551417236,0.904319268015514,0.989593969088528,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
15,0.0410677618069815,85,1,1,0.956695869837297,0.0211939800749273,0.888652511362285,0.983535388061187,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
16,0.0438056125941136,83,1,0,0.945169413574197,0.0238680695805009,0.87315630606049,0.976828711300558,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
44,0.120465434633812,82,1,0,0.933642957311097,0.0262128533282102,0.858105462940138,0.969662594573972,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
66,0.180698151950719,81,1,0,0.922116501047997,0.0283102736429075,0.843406280348465,0.962131323309751,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
81,0.2217659137577,80,1,0,0.910590044784897,0.0302118931530243,0.828997501240192,0.954299214389552,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
82,0.224503764544832,79,0,1,0.910590044784897,0.0302118931530243,0.828997501240192,0.954299214389552,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
89,0.243668720054757,78,0,1,0.910590044784897,0.0302118931530243,0.828997501240192,0.954299214389552,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
91,0.249144421629021,77,1,0,0.898764200047431,0.0320505660714282,0.814284324971375,0.946057918568034,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
94,0.257357973990418,76,0,1,0.898764200047431,0.0320505660714282,0.814284324971375,0.946057918568034,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
106,0.290212183436003,75,1,0,0.886780677380132,0.0337893245876808,0.799550402076297,0.937499115305202,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
111,0.303901437371663,74,0,1,0.886780677380132,0.0337893245876808,0.799550402076297,0.937499115305202,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
188,0.514715947980835,73,0,1,0.886780677380132,0.0337893245876808,0.799550402076297,0.937499115305202,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
205,0.561259411362081,72,0,1,0.886780677380132,0.0337893245876808,0.799550402076297,0.937499115305202,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
222,0.607802874743327,71,1,0,0.874290808684637,0.0355469202750924,0.784175757199133,0.928454763937698,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
238,0.65160848733744,70,1,0,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
243,0.665297741273101,69,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
276,0.75564681724846,68,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
313,0.856947296372348,67,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
321,0.878850102669405,66,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
327,0.895277207392197,65,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
352,0.9637234770705,64,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
369,1.01026694045175,63,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
395,1.08145106091718,62,0,1,0.861800939989142,0.0371686335823517,0.769078190200648,0.919201436745252,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
396,1.08418891170431,61,1,0,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
405,1.1088295687885,60,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
408,1.1170431211499,59,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
413,1.13073237508556,58,0,2,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
437,1.19644079397673,56,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
475,1.30047912388775,55,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
495,1.35523613963039,54,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
518,1.41820670773443,53,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
539,1.4757015742642,52,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
569,1.55783709787817,51,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
577,1.57973990417522,50,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
586,1.60438056125941,49,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
600,1.64271047227926,48,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
623,1.7056810403833,47,0,1,0.847673055727025,0.0391523728956197,0.751410017496991,0.908865282366613,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
638,1.74674880219028,46,1,0,0.829245380602524,0.042416760918483,0.72626528418182,0.896181188160344,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
657,1.79876796714579,45,0,1,0.829245380602524,0.042416760918483,0.72626528418182,0.896181188160344,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
679,1.8590006844627,44,0,1,0.829245380602524,0.042416760918483,0.72626528418182,0.896181188160344,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
719,1.96851471594798,43,0,1,0.829245380602524,0.042416760918483,0.72626528418182,0.896181188160344,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
720,1.97125256673511,42,0,1,0.829245380602524,0.042416760918483,0.72626528418182,0.896181188160344,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
776,2.12457221081451,41,1,0,0.809019883514658,0.0459519352393985,0.69881811632016,0.882202713927922,"Categoria etária de maior idade, rotulada como '>40 anos' no dataset original"
